PRODUCT,DESCRIPTION,PRICE,CATEGORY
Brown eggs,Raw organic brown eggs in a basket,28.1,dairy
Sweet fresh stawberry,Sweet fresh stawberry on the wooden table,29.45,fruit
Asparagus,Asparagus with ham on the wooden table,18.95,vegetable
Green smoothie,"Glass of green smoothie with quail egg's yolk, served with cocktail tube, green apple and baby spinach leaves over tin surface.",17.68,dairy
Raw legums,Raw legums on the wooden table,17.11,vegetable
Baking cake,"Baking cake in rural kitchen - dough  recipe ingredients (eggs, flour, sugar) on vintage wooden table from above.",11.14,dairy
Pesto with basil,"Italian traditional pesto with basil, chesse and oil",18.19,vegetable
Hazelnut in black ceramic bowl,Hazelnut in black ceramic bowl on old wooden background. forest wealth. rustic style. selective focus,27.35,vegetable
Lemon and salt,"Rosemary, lemon and salt on the table",15.79,fruit
Homemade bread,Homemade bread,17.48,bakery
